Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-11-27,75.0,79.37999725341797,72.18000030517578,75.0,365,0,0
1996-11-29,80.0,80.0,80.0,80.0,50,0,0
1996-12-02,72.5,72.5,72.5,72.5,5,0,0
1996-12-03,72.5,72.5,72.5,72.5,75,0,0
1996-12-04,80.0,80.0,80.0,80.0,60,0,0
1996-12-05,72.5,72.5,72.5,72.5,35,0,0
1996-12-06,77.5,77.5,72.5,77.5,175,0,0
1996-12-09,72.5,80.0,72.5,72.5,90,0,0
1996-12-10,72.5,72.5,72.5,72.5,125,0,0
1996-12-11,70.0,72.5,70.0,70.0,275,0,0
1996-12-12,70.0,70.0,67.5,70.0,700,0,0
1996-12-13,65.0,70.0,65.0,65.0,120,0,0
1996-12-16,67.5,70.0,65.0,67.5,580,0,0
1996-12-17,60.0,67.5,60.0,60.0,425,0,0
1996-12-18,60.0,67.5,60.0,60.0,170,0,0
1996-12-19,60.0,70.0,60.0,60.0,290,0,0
1996-12-20,70.0,70.0,70.0,70.0,60,0,0
1996-12-23,65.0,67.5,60.0,65.0,200,0,0
1996-12-26,70.0,70.0,60.0,70.0,50,0,0
1996-12-27,60.0,70.0,60.0,60.0,115,0,0
1996-12-30,60.0,70.0,60.0,60.0,80,0,0
1996-12-31,60.0,70.0,60.0,60.0,390,0,0
1997-01-02,65.0,65.0,60.0,65.0,235,0,0
1997-01-03,60.0,60.0,60.0,60.0,30,0,0
1997-01-07,57.5,70.0,57.5,57.5,555,0,0
1997-01-08,52.5,60.0,50.0,52.5,2955,0,0
1997-01-09,50.0,57.5,50.0,50.0,675,0,0
1997-01-10,50.0,57.5,50.0,50.0,465,0,0
1997-01-13,57.5,57.5,50.0,57.5,150,0,0
1997-01-14,50.0,57.5,50.0,50.0,230,0,0
1997-01-15,55.0,55.0,55.0,55.0,25,0,0
1997-01-16,50.0,50.0,47.5,50.0,100,0,0
1997-01-17,47.5,52.5,45.0,47.5,725,0,0
1997-01-20,45.0,50.0,45.0,45.0,2100,0,0
1997-01-21,45.0,52.5,40.0,45.0,505,0,0
1997-01-22,40.0,47.5,40.0,40.0,3225,0,0
1997-01-23,57.5,57.5,47.5,57.5,955,0,0
1997-01-24,67.5,67.5,60.0,67.5,670,0,0
1997-01-27,67.5,67.5,67.5,67.5,100,0,0
1997-01-28,60.31999969482422,62.5,60.31999969482422,60.31999969482422,250,0,0
1997-01-29,57.5,60.0,57.5,57.5,235,0,0
1997-01-30,60.0,60.0,57.5,60.0,300,0,0
1997-01-31,67.5,67.5,67.5,67.5,35,0,0
1997-02-03,57.5,57.5,57.5,57.5,5,0,0
1997-02-04,57.5,57.5,57.5,57.5,5,0,0
1997-02-05,67.5,67.5,61.2599983215332,67.5,285,0,0
1997-02-06,67.5,67.5,67.5,67.5,285,0,0
1997-02-07,67.5,67.5,67.5,67.5,30,0,0
1997-02-10,60.0,65.0,60.0,60.0,215,0,0
1997-02-11,67.5,67.5,60.0,67.5,610,0,0
1997-02-13,67.5,67.5,67.5,67.5,40,0,0
1997-02-14,60.0,67.5,60.0,60.0,735,0,0
1997-02-18,62.5,67.5,62.5,62.5,710,0,0
1997-02-19,62.5,67.5,62.5,62.5,465,0,0
1997-02-20,62.5,63.7599983215332,62.5,62.5,510,0,0
1997-02-21,62.5,67.5,62.5,62.5,975,0,0
1997-02-26,62.5,67.5,60.0,62.5,625,0,0
1997-02-27,62.5,67.5,62.5,62.5,590,0,0
1997-02-28,62.5,67.5,62.5,62.5,255,0,0
1997-03-03,67.5,67.5,67.5,67.5,80,0,0
1997-03-04,60.0,67.5,60.0,60.0,1860,0,0
1997-03-05,67.5,67.5,60.0,67.5,425,0,0
1997-03-06,60.0,72.5,60.0,60.0,890,0,0
1997-03-10,60.0,60.0,60.0,60.0,50,0,0
1997-03-11,70.0,70.0,70.0,70.0,140,0,0
1997-03-13,70.0,70.0,70.0,70.0,5,0,0
1997-03-14,60.0,72.5,60.0,60.0,1000,0,0
1997-03-17,70.0,70.0,70.0,70.0,50,0,0
1997-03-18,60.939998626708984,60.939998626708984,60.0,60.939998626708984,195,0,0
1997-03-19,65.0,70.0,60.0,65.0,550,0,0
1997-03-20,60.0,70.0,60.0,60.0,165,0,0
1997-03-21,60.0,70.0,60.0,60.0,265,0,0
1997-03-26,57.5,60.0,57.5,57.5,400,0,0
1997-03-27,57.5,65.0,55.0,57.5,495,0,0
1997-03-31,55.0,60.0,55.0,55.0,210,0,0
1997-04-03,55.0,60.0,55.0,55.0,13600,0,0
1997-04-04,55.0,55.0,55.0,55.0,0,0,0
1997-04-07,55.0,60.0,55.0,55.0,650,0,0
1997-04-08,65.0,65.0,65.0,65.0,20,0,0
1997-04-09,65.0,65.0,65.0,65.0,110,0,0
1997-04-10,60.0,60.0,60.0,60.0,0,0,0
1997-04-14,60.0,60.0,52.5,60.0,280,0,0
1997-04-15,47.5,57.5,45.0,47.5,1315,0,0
1997-04-16,50.0,50.0,42.5,50.0,145,0,0
1997-04-17,40.0,50.0,40.0,40.0,1185,0,0
1997-04-18,45.0,45.0,45.0,45.0,0,0,0
1997-04-21,47.5,50.0,45.0,47.5,275,0,0
1997-04-22,50.0,50.0,50.0,50.0,150,0,0
1997-04-23,47.5,50.0,42.5,47.5,925,0,0
1997-04-24,50.0,55.0,50.0,50.0,410,0,0
1997-04-25,50.0,50.0,50.0,50.0,50,0,0
1997-04-29,60.0,60.0,60.0,60.0,30,0,0
1997-04-30,57.5,62.5,53.7599983215332,57.5,565,0,0
1997-05-01,65.0,65.0,65.0,65.0,0,0,0
1997-05-02,65.0,65.0,65.0,65.0,15,0,0
1997-05-05,65.0,65.0,65.0,65.0,60,0,0
1997-05-06,65.0,65.0,65.0,65.0,285,0,0
1997-05-07,65.0,65.0,65.0,65.0,155,0,0
1997-05-08,65.0,65.0,65.0,65.0,100,0,0
1997-05-09,65.0,65.0,65.0,65.0,30,0,0
1997-05-12,62.5,62.5,55.0,62.5,10,0,0
1997-05-13,65.0,65.0,65.0,65.0,60,0,0
1997-05-14,65.0,65.0,65.0,65.0,80,0,0
1997-05-15,67.5,67.5,63.7599983215332,67.5,200,0,0
1997-05-16,70.0,70.0,63.7599983215332,70.0,725,0,0
1997-05-19,75.0,80.0,70.0,75.0,940,0,0
1997-05-20,75.0,77.5,75.0,75.0,1150,0,0
1997-05-21,75.0,77.5,75.0,75.0,745,0,0
1997-05-22,77.5,77.5,77.5,77.5,125,0,0
1997-05-23,77.5,80.0,72.5,77.5,475,0,0
1997-05-27,50.0,75.0,50.0,50.0,4030,0,0
1997-05-28,58.7599983215332,58.7599983215332,55.0,58.7599983215332,385,0,0
1997-05-29,55.0,58.7599983215332,52.5,55.0,200,0,0
1997-05-30,66.26000213623047,66.26000213623047,55.0,66.26000213623047,400,0,0
1997-06-02,57.5,66.26000213623047,57.5,57.5,185,0,0
1997-06-04,55.0,61.2599983215332,55.0,55.0,475,0,0
1997-06-05,61.2599983215332,61.2599983215332,61.2599983215332,61.2599983215332,10,0,0
